,Plant,Plant taxonomy,PlantSize,Light ,Water ,Temp_low (degF),Temp_high (degF),Temp_Range,TempDurability,Humidity ,Flowering ,Pests ,Soil ,PotSize ,Pruning ,Propogation (multiple options),SpecialOccasion ,CleanAirPlant,Toxicitylevel,"Verified (1 = good to go, 0 = possible error)"
19,Begonia Rex,Begoniaceae,2,2,1,65,75,10,1,3,1,1,well-aerated,3,regular,"stem cutting, leaf cutting",2,2,1,
20,Bird of Paradise Plant,Strelitzia,3,3,2,55,75,20,2,2,2,1,quick draining,3,as-needed,plant division,2,2,1,
21,Bird's Nest Fern,Asplenium nidus,3,2,2,70,90,20,2,3,2,1,organic,3,2ne,"spore, tissue culture",2,2,0,
22,Bleeding Heart Vine,Clerodendrum,3,2,1,65,85,20,2,3,1,2,"rich, organic, quick draining",3,regular,"stem cutting, seed",2,2,3,
23,Boston Fern,Nephrolepis exaltata,2,2,1,60,70,10,1,3,2,1,quick draining,2,as-needed,plant division,2,1,0,
24,Bougainvillea,Bougainvillea,3,3,1,60,85,25,3,3,1,2,"loamy, organic, quick-draining",3,regular,stem cutting,2,2,3,
25,Bromeliad Aechmea,Aechmea fasciata,2,3,2,60,75,15,2,2,1,1,"bromeliad, orchid potting",1,2ne,offset,2,1,0,
26,Bromeliad Guzmania,Bromeliaceae,2,2,1,40,100,60,3,2,2,1,"well-aerated, quick draining",1,2ne,offset,2,2,0,
27,Cactus Plant,Cereus Peruvianus monstrosus,3,3,1,60,80,20,2,1,1,1,"quick draining, cactus",3,2ne,"seed, plant division, plant cutting",2,2,2,
28,Caladium Plant,Caladium,2,2,2,70,85,15,2,3,1,1,"acidic, quick draining",2,2ne,tuber division,2,2,3,
29,Calathea Plant - Peacock Plant,Calathea roseopicta,2,2,2,65,80,15,2,3,1,1,"porous, quick draining",2,as-needed,plant division,2,2,0,
30,Calethea Plant- Striped Calethia,Calathea ornata lineata,2,2,2,65,80,15,2,3,1,1,"porous, quick draining",2,as-needed,plant division,2,2,0,
31,Calla Lily Plant,Zantedeschia aethiopica,2,2,3,50,75,25,3,2,1,1,"well-aerated, quick draining",2,as-needed,"plant division, seed",1,2,3,
32,Cast Iron Plant,Aspidistra,2,1,1,50,85,35,3,2,1,1,"rich, organic",2,2ne,plant division,2,2,0,
33,Cat Palm,Chamaedorea cataractarum,3,2,2,45,80,35,3,3,2,1,quick draining,2,regular,seed,2,1,0,
34,China Doll Plant,Radermachera sinica,3,3,1,65,75,10,1,2,2,1,"rich, well-aerated, quick draining",3,regular,stem cutting,2,2,0,
35,Chinese Evergreen,Aglaonema,2,1,2,50,80,30,3,2,1,1,"well-aerated, quick draining",1,as-needed,"stem cutting, plant division",2,1,2,
36,Chinese Evergreen Plant- Amelia,Aglaonema,2,1,2,50,80,30,3,2,1,1,"well-aerated, quick draining",1,as-needed,"stem cutting, plant division",2,1,2,
37,Christmas Cactus Plant,Schlumbergera bridgesii,2,1,1,45,75,30,3,2,1,1,"rich, acidic",1,as-needed,stem cutting,1,2,0,
38,Chrysanthemum Plant,Chrysanthemum,2,2,2,60,70,10,1,3,1,1,"quick draining, acidic",1,as-needed,transplant,1,1,1,
39,Cineraria Plant,Pericallis cruenta,1,3,3,45,65,20,2,2,1,2,"quick draining, well-aerated, loose, peat moss",1,as-needed,seed,1,1,2,
40,Clivia Plant,Clivia miniata,2,3,1,50,70,20,2,2,1,2,"quick draining, peat moss, sand",1,regular,"plant division, offset",2,2,3,
41,Coffee Plant,C. arabica,3,2,3,42,78,36,3,3,1,1,"light, acidic, peat moss",3,regular,seed,2,2,0,
42,Coleus Plant,Solenostemon,2,3,3,55,85,30,3,3,1,1,"quick draining, well-aerated",regular,2ne,stem cutting,2,2,0,
43,Creeping Fig Plant,Ficus pumila,2,2,3,55,75,20,2,3,2,1,quick draining,regular,2ne,stem cutting,2,2,1,
44,Croton Plant,Codiaeum variegatum,2,3,2,60,80,20,2,3,1,1,"rich, loose",regular,regular,"stem cutting, air layering",2,2,3,
45,Crown of Thorns Plant,Euphorbia milii,2,2,2,55,96,41,3,2,1,1,cactus or succulent soil,regular,as-needed,stem cutting,2,2,2,
46,Ctenanthe Plant,Marantaceae,3,2,2,60,80,20,2,3,1,1,potting mix,regular,2ne,"offset, stem cutting",2,2,0,
47,Cyclamen Plant,Cyclamen persicum,1,1,2,45,65,20,2,3,1,1,rich,regular,as-needed,plant division,1,,3,
48,Desert Rose Plant,Adenium obesum,3,1,1,60,96,36,3,2,1,1,quick draining,1,as-needed,"seeds, stem cuttings",2,2,2,
49,Dieffenbachia Plant,Dieffenbacchia compacta,3,3,2,60,96,36,3,3,1,1,quick draining,1,regular,"air layering, stem cutting",2,2,4,
50,Donkey's Tail Plant,Sedum Morganianum,2,3,1,65,75,10,1,2,1,1,"quick draining, cactus or succulent ",1,as-needed,"stem cutting, leaf cutting",2,2,0,
51,Dracaena Compacta,D. fragrans,1,2,2,60,75,15,2,2,2,1,"good, loose, well- draining",1,as-needed,stem cutting,2,1,1,
52,Dracaena Janet Craig,D. deremensis janet craig,2,1,2,55,96,41,3,2,1,1,"loose, lava rock",1,regular,stem cutting,2,1,0,
53,Dracaena Lemon Lime,Dracaena Deremensis,3,1,2,70,75,5,1,3,2,1,"well-aerated, quick draining, lava rock",1,regular,stem cutting,2,1,0,
54,Dracaena Marginata,D. marginata,2,2,2,70,80,10,1,2,2,1,"loose, quick draining, lava rock",1,regular,stem cutting,2,1,2,
55,Dracaena Massangeana,D. fragrans massangeana,3,1,1,65,80,15,2,3,1,1,"loose, quick draining, well-aerated, lava rock",1,regular,"stem cutting, air layering",2,1,1,
56,Dracaena Reflexa,D. reflexa,2,2,1,65,85,20,2,3,2,1,"loose, quick draining",1,regular,stem cutting,1,2,0,
57,Dracaena Reflexa Song of India,D. reflexa variegata,1,1,1,55,85,30,3,2,2,1,"loose, quick draining",1,regular,stem cutting,2,1,0,
58,Dracaena Warnekii,D. deremensis warnekii,2,1,1,65,80,15,2,2,2,1,"quick draining, well-aerated, lava rock",1,regular,stem cutting,2,1,1,
59,Easter Lily Plant,Lilium Longiflorum,2,1,2,55,75,20,2,2,2,2,quick draining,1,regular,bulb division,1,2,0,
60,Emerald Gem Plant,Homalomena,3,1,1,65,80,15,2,2,2,1,"quick draining, loose",2,2ne,plant division,2,2,1,
61,English Ivy Plant,Hedera helix,2,1,2,45,80,35,3,3,2,1,"well draining, rich, organic",2,regular,stem cutting,2,1,3,
62,Episcia Plant,Episcia cupriata,1,1,2,50,96,46,3,3,1,1,rich,2,regular,plantlets,2,2,0,
63,Fatsia Plant,Fatsia japonica,3,3,1,45,70,25,3,3,1,1,"light, rich, quick draining",3,regular,stem tip cutting,2,2,0,
64,Ficus Alii Plant,Ficus maclellandii,2,1,2,45,85,40,3,2,1,1,well-aerated,2,as-needed,branch cutting,2,2,2,
65,Ficus Tree,Ficus Benjamina,2,1,2,65,85,20,2,2,2,1,"rich, quick draining",1,as-needed,"stem cutting, air layering",2,1,1,
66,Fiddle Leaf Fig Plant,Ficus lyrata,3,1,1,60,80,20,2,3,2,1,"well-aerated, quick draining",1,as-needed,"air layering, stem cutting",2,2,1,
67,Fishtail Palm,Caryota mitis Palms,3,1,1,60,85,25,3,3,2,1,"quick draining, porous",2,as-needed,plant division,2,1,2,
68,Fittonia Plant,Fittonia verschaffetii,1,1,2,60,80,20,2,3,1,1,peat moss,2,regular,leaf tip cutting,2,2,0,
69,Gardenia Plant,Gardenia jasminoides,2,3,2,55,70,15,2,3,1,1,"quick draining, acidic",2,regular,stem cuttings,2,2,0,
70,Geranium Plant,Pelargonium,2,3,2,55,70,15,2,2,1,1,"quick draining, all-purpose",2,regular,stem cuttings,2,2,1,
71,Goldfish Plant,Columnea nematanthus,1,3,2,65,85,20,2,3,1,1,quick draining,2,regular,stem cuttings,2,2,1,
72,Grape Ivy Plant,Cissus rhombifolia,2,3,3,40,90,50,3,2,2,1,"quick draining, well-aerated",2,as-needed,stem cuttings,2,2,0,
73,Hawaiian Schefflera - Gold Capella,Schefflera arboricola,3,3,3,65,80,15,2,2,2,1,"quick draining, well-aerated",1,as-needed,"stem cuttings, air layering",2,2,1,
74,Hawaiian Schefflera Plant,Schefflera arboricola,1,3,3,65,80,15,2,2,2,1,"quick draining, well-aerated",1,as-needed,"stem cuttings, air layering",2,2,1,
75,Heartleaf Philodendron,Scandens oxycardium,2,"1, 2",3,70,80,10,1,2,2,1,"quick draining, well-aerated",1,as-needed,stem cuttings,2,1,2,
76,Hibiscus Plant,Hibiscus trionum,1,3,2,65,85,20,2,3,1,1,"quick draining, acidic",2,regular,"stem cuttings, air layering",2,2,0,
77,Hindu Rose Plant,Hoya Carnosa Compacta,1,3,1,60,70,10,1,2,1,1,"quick draining, well-aerated",1,2ne,stem cuttings,2,2,0,
78,Hoya Plant,Hoya Carnosa,1,3,1,60,80,20,2,2,1,1,"quick draining, well-aerated",1,2ne,stem cuttings,2,2,0,
79,Hoya Shooting Stars Plant,Hoya Multiflora,2,3,1,60,80,20,2,2,1,1,"quick draining, well-aerated",1,2ne,stem cuttings,2,2,0,
80,Jade Plant,Crassula ovata,2,3,1,75,80,5,1,1,1,1,quick draining,2,2ne,stem cuttings,2,2,1,
81,Jasmine Plant,Jasminum polyanthum,2,3,2,65,70,5,1,3,1,1,basic,2,as-needed,stem cuttings,2,2,0,
82,Kalanchoe Plant,Kalanchoe blossfeldiana,1,3,1,60,85,25,3,2,1,1,basic,1,regular,stem cuttings,1,2,0,
83,Kangaroo Paw Fern,Microsorum diversifolium,2,3,2,60,75,15,2,3,2,1,quick draining,2,regular,"spores, layering, plantlets",2,2,0,
84,Kentia Palm,Howea forsteriana,3,"1, 2",2,65,85,20,2,2,2,1,"quick draining, well-aerated",2,2ne,seeds,2,2,0,
85,Kimberly Queen Fern,Nephrolepsis Obliterata,2,2,2,60,85,25,3,2,2,1,basic,2,as-needed,plant division,2,2,0,
86,Lipstick Plant,Aeschynanth,1,3,3,75,85,10,1,3,1,1,"basic, well-aerated",1,regular,stem cuttings,2,2,0,
87,Lucky Bamboo Plant,Dracaena Sanderiana,3,"1, 2",3,70,85,15,2,2,1,1,"loose, quick draining",3,as-needed,stem cuttings,2,2,1,
88,Maidenhair Fern,Adiantum raddianum,2,2,2,60,85,25,3,3,2,1,quick draining,1,regular,plant division,2,2,0,
89,Majesty Palm,Ravenea Rivularis,3,3,2,45,85,40,3,3,2,1,quick draining,2,regular,seeds,2,2,0,
90,Marble Queen Pothos Plant,Epipremnum Aureum,2,"1, 2",1,65,85,20,2,2,2,1,quick draining,1,regular,stem cuttings,2,1,2,
91,Mimosa Pudica Plant,Mimosa Pudica,1,3,2,60,85,25,3,3,1,1,quick draining,2,regularly,stem cuttings,2,2,4,
92,Miniature Rose Plant,R. chinensis minima,1,3,2,60,75,15,2,2,1,1,basic,2,regular,stem cuttings,2,2,0,
93,Moses in the Cradle Plant,Tradescantia Spathacea,2,3,2,60,85,25,3,3,1,1,quick draining,2,regular,"plant division, leaf cuttings",2,2,3,
94,Natal Mahogany Plant,Trichilia Emetica,2,"1, 2",2,45,80,35,3,2,2,1,basic,2,regular,plant division,2,2,1,
95,Norfolk Island Pine,Araucaria heterophylla,2,3,3,40,75,35,3,3,2,1,basic,2,2ne,seeds,1,2,0,
96,Orchid - Cymbidium,Cymbidium Orchidaceae,2,3,1,45,80,35,3,3,1,1,basic,1,as-needed,plant division,1,2,0,
97,Orchid Plant - Phalaenopsis,Orchidaceae,2,2,1,65,80,15,2,3,1,1,basic,2,as-needed,plant division,2,2,0,
98,Pachira Aquatica Plant,Pachira aquatica,3,2,3,65,75,10,1,3,2,2,quick draining,1,regular,stem cuttings,1,2,0,
99,Parlor Palm,Chamadorea Elegans,2,"1, 2",2,62,82,20,2,3,1,1,quick draining,2,as-needed,seeds,2,1,0,
100,Peace Lily Plant,Spathiphyllum,2,"1, 2",2,65,85,20,2,3,1,1,well-aerated,2,as-needed,plant division,1,1,2,
101,Pencil Cactus Plant,Euphorbia tirucalli,2,3,1,50,70,20,2,2,2,1,quick draining,2,regular,stem cuttings,2,2,4,
102,Peperomia Plant,Peperomia obtusifolia,1,3,2,60,80,20,2,3,1,1,well-aerated,2,as-needed,"leaf cuttings, plant division",2,2,0,
103,Peperomia Plant – caperata,Peperomia caperata,1,3,2,60,80,20,2,3,1,1,well-aerated,2,as-needed,"leaf cuttings, plant division",2,2,0,
104,Philodendron Congo Plant,Philodendron Tatei,1,1,2,70,85,15,2,2,2,1,well-aerated,1,2ne,air layering,2,2,2,
105,Philodendron Imperial Red,Araceae,2,2,2,70,85,15,2,2,2,1,quick draining,2,2ne,air layering,2,2,2,
106,Philodendron Selloum,Philodendron bipinnatifidum,3,3,2,55,100,45,3,3,2,1,"rich, slightly alkaline",2,regular,stem cuttings,2,2,3,
107,Philodendron Xanadu Plant,Philodendron bipinnatifidum,3,2,2,68,78,10,1,2,2,1,basic,3,2ne,plant division,2,2,1,
108,Podocarpus Plant,Podocarpus macrophyllus,3,3,2,50,75,25,3,2,1,1,well-aerated acidic,3,regular,stem cuttings,2,2,1,
109,Poinsettia Plant,Euphorbiaceae pulcherrima,3,3,2,65,70,5,1,2,1,1,"good, quick-draining, acidic potting",3,as-needed,stem cuttings,1,2,0,
110,Polka Dot Plant,Hypoestes,1,3,1,70,80,10,1,3,1,1,rich airy peat-based,1,regular,stem cuttings,2,2,0,
111,Ponytail Palm Plant,Beaucarnea recurvata,3,3,1,60,100,40,3,1,2,1,fast draining light,"1,3",as-needed,offsets,2,2,0,
112,Pothos Plant,Epipremnum aureum,1,"1, 2, 3",2,55,80,25,3,2,2,1,"well-aerated, quick-draining",1,as-needed,stem cuttings,2,1,2,
113,Prayer Plant,Maranta leuconeura,2,"2, 3",1,60,80,20,2,3,1,1,"well-aerated, peat based, indoor potting",2,as-needed,"plant division, stem cuttings.",1,2,0,
114,Purple Velvet Plant,Gynura sarmentosa,3,3,1,65,85,20,2,3,1,1,basic,1,regular,stem cuttings,2,2,0,
115,Pygmy Date Palm,Phoenix Roebelenii Palms,3,3,1,50,75,25,3,"2, 3",2,1,basic,2,as-needed,A Dwarf Palm,2,1,0,
116,Rabbit’s Foot Fern,Davillia fejeensis,3,2,1,65,75,10,1,2,2,1,50% peat moss and 50% chopped bark,2,2ne,plant division,2,2,0,
117,Rhapis Palm,Rhapis excelsa,2,3,2,50,80,30,3,"1, 2",2,1,well-drained dense,1,2ne,plant division,2,1,0,
118,Rubber Tree Plant,Ficus elastica,3,"2, 3",1,70,80,10,1,2,2,1,basic,1,regular,"Stem cuttings, air layering",2,2,0,
119,Sago Palm,Cycas Revoluta Palms,3,3,3,60,75,15,2,3,2,1,"cactus soil mix, combination of 2 parts peat-moss based potting mix and 1 part sharp sand or perlite",1,Remove dead or damaged fronds,offsets,2,2,4,
120,Sansevieria Plant,Sansevieria trifasciata,2,"1, 2, 3",1,60,85,25,3,1,2,2,"good, rich, organic, drains quickly",1,2ne,"plant division, leaf cuttings",2,1,1,
121,Schefflera Plant,Schefflera actinophylla,3,"2, 3",1,65,80,15,2,"2, 3",2,1,well-aerated fast-draining,"2, 3",as-needed,stem tip cuttings,2,2,1,
122,Selaginella Plant,Lycopodioides,1,3,1,50,75,25,3,3,2,1,"peat moss based, still drains well",1,as-needed,plant division,2,2,0,
123,Shamrock Plant,Oxalis regnelli,1,3,1,60,70,10,1,2,1,1,loose and sandy,1,as-needed,bulb division,1,2,1,
124,Spider Plant,Chlorophytum comosum,1,"2, 3",2,45,80,35,3,"2, 3",1,1,good organic houseplant,1,as-needed,offsets,2,1,0,
125,Split Leaf Philodendron,Monstera deliciosa,3,"2, 3",1,50,100,50,3,"2, 3",2,1,rich,3,regular,stem cuttings,2,2,2,
126,Staghorn Fern,Platycerium bifurcatum,2,3,2,65,80,15,2,3,2,1,Orchid bark mixed with potting,2,2ne,"plant division, plantsets, offsets",2,2,0,
127,Strawberry Begonia Plant,Saxifraga stolonifera,"1, 2",3,1,40,65,25,3,"2, 3",1,1,well-aerated houseplant,1,as-needed,"plant division, plantlets",2,2,0,
128,Stromanthe Tricolor Plant,Stromanthe sanguinea,3,3,1,68,78,10,1,3,1,1,"light, quick-draining",2,as-needed,plant division,2,2,0,
129,Swedish Ivy Plant,Plectranthus australis,1,3,1,70,75,5,1,"2, 3",1,1,organic peat- based,1,regular,stem cuttings,2,2,0,
130,Terrariums,Best Plants for Terrariums,1,3,1,70,90,20,2,1,1,1,Proper drainage,,regular,"stem tip, leaf cutting",1,2,0,
131,Ti Plant,Cordyline terminalis,3,3,1,65,85,20,2,3,2,1,"loose, well-aerated fast-draining",3,as-needed,"cane cuttings, stem cuttings, plant division, air layering",2,1,2,
132,Wandering Jew Plant,Tradescantia zebrina,1,3,2,60,80,20,2,3,1,1,well- aerated,2,regular,stem cuttings,2,2,1,
133,Yucca Plant,Yucca elephantipes,3,3,1,35,90,55,3,"1, 2",2,1,"good quality, well-aerated, loose houseplant",1,as-needed,stem (trunk) cuttings and offsets,2,2,0,
134,Zamioculcas zamiifolia,ZZ Plant,3,"1, 2, 3",1,60,80,20,2,2,2,1,well -aerated,2,2ne,stem or leaf cuttings,2,2,4,
135,Zebra Plant,Aphelandra squarrosa,3,3,1,65,75,10,1,3,1,1,"fast- draining, 3ly organic potting",1,regular,stem tip cuttings,2,2,0,
